Word	True	Predict
Muleh	JV	O
muleh	JV	JV
galon	JV	JV
entek	JV	JV
.	O	O
Well	EN	EN
tenan	JV	JV
ncene	JV	JV
koncoku	JV	JV

@emonymphreads	O	O
setau	ID	ID
aku	ID	ID
di	ID	ID
tweet	EN	EN
sendiri	ID	ID
trs	ID	ID
dicopy	MIX-ID-EN	MIX-ID-EN
baru	ID	ID
nnti	ID	ID
di	ID	ID
paste	EN	EN
ke	ID	ID
dm	EN	EN
litbase	EN	EN
ka	ID	ID
,	O	O
cmiiw	EN	EN
aku	ID	ID
belum	ID	ID
pernah	ID	ID
soalnya	ID	ID
cm	ID	ID
tmn²ku	ID	ID
sering	ID	ID
ksh	ID	ID
tips	ID	EN
ini	ID	ID
😅	O	O

april	ID	ID
mop	ID	ID
diprank	MIX-ID-EN	MIX-ID-EN
temen	ID	ID
❎	O	O
❎	O	O
❎	O	O
april	ID	ID
mop	ID	ID
diprank	MIX-ID-EN	MIX-ID-EN
dosen	ID	ID
✅	O	O
✅	O	O
✅	O	O

@tokopedia	O	O
min	ID	ID
cek	ID	ID
emoney	EN	ID
di	ID	ID
tokped	O	O
lg	ID	ID
error	EN	EN
ya	ID	ID
?	O	O

Mumet	JV	JV
RT	EN	EN
@anggi_djunaedi:	O	O
yowes	JV	JV
diseleseke	MIX-ID-JV	MIX-ID-JV
sek	JV	JV
haha	O	O
RT	EN	EN
@yUdHis_street	O	O
Jek	JV	JV
ono	JV	JV
masalah	JV	JV
,	O	O
kie	JV	JV
mboh	JV	JV
putus	ID	ID
po	JV	JV
"	O	O

ga	ID	ID
bakalan	ID	ID
bosen	ID	ID
ngomongin	ID	ID
soal	ID	ID
this	EN	EN
kdrama	EN	EN
.	O	O
karena	ID	ID
,	O	O
emang	ID	ID
se-bagus	ID	ID
dan	ID	ID
se-menarik	ID	ID
itu	ID	ID
.	O	O
the	EN	EN
WHOLE	EN	EN
story	EN	EN
is	EN	EN
AMAZING	EN	EN
.	O	O
setiap	ID	ID
episodenya	ID	ID
itu	ID	ID
nyuguhin	ID	ID
cerita	ID	ID
yang	ID	ID
berbeda	ID	ID
dan	ID	ID
bisa	ID	ID
ngerubah	ID	ID
perspektif	ID	ID
aku	ID	ID
yang	ID	ID
pada	ID	ID
awalnya	ID	ID
mikir	ID	ID
"	O	O
kenapa	ID	ID
sih	ID	ID
bikin	ID	ID
jasa	ID	ID
begituan	ID	ID
?"	O	O

@ddnboangmanalu	O	O
@BarcaBandidos	O	O
@novandhiSP	O	O
Yg	ID	ID
marah2	ID	ID
siapa	ID	ID
?	O	O
Santai	ID	ID
aja	ID	ID
dong	ID	ID
😂	O	O
Jgn	ID	ID
sok	ID	ID
bijak	ID	ID
,	O	O
rivalitas	ID	ID
berujung	ID	ID
troll	EN	EN
itu	ID	ID
