Word	True	Predict
Cara	ID	ID
menghilangkan	ID	ID
ovt	EN	EN
gimana	ID	ID
:D	O	O
,	O	O
walau	ID	ID
udh	ID	ID
mule	ID	ID
teneg	ID	ID
tapi	ID	ID
ga	ID	ID
teneg	ID	ID
lagi	ID	ID
jadinya	ID	ID
(	O	O
harusnya	ID	ID
ke	ID	ID
priv	EN	ID
tapi	ID	ID
males	ID	ID
switch	EN	EN
acc	EN	EN
)	O	O

eng	O	O
!	O	O
Last	EN	EN
night	EN	EN
i	EN	EN
...	O	O
dinner	EN	EN
with	EN	EN
my	EN	EN
friend	EN	EN
when	EN	EN
it	EN	EN
rainded	EN	EN
heavily	EN	EN
So	EN	EN
,	O	O
i	EN	EN
cancelled	EN	EN
it	EN	EN
Kalau	ID	ID
kayaa	ID	ID
gitu	ID	ID
jawabnya	ID	ID
pake	ID	ID
verb	EN	ID
2	O	O
boleh	ID	ID
nggak	ID	ID
yaa	ID	ID
?	O	O
(	O	O
Wanted	EN	EN
to	EN	EN
had	EN	EN
/	O	O
want	EN	EN
to	EN	EN
have	EN	EN
)	O	O
??	O	O
Kira	ID	ID
kira	ID	ID
yang	ID	ID
bener	ID	ID
yang	ID	ID
mana	ID	ID
yaa	ID	ID
,	O	O
thankyou	EN	EN

kok	ID	ID
twt	O	O
aku	ID	ID
skrng	ID	ID
jd	ID	ID
lemot	ID	ID
ya	ID	ID
..	O	O
buka	ID	ID
gambar	ID	ID
lama	ID	ID
bngt	ID	ID
trs	ID	ID
pengen	ID	ID
buka	ID	ID
dm	EN	EN
juga	ID	ID
loadingnya	MIX-ID-EN	MIX-ID-EN
lama	ID	ID
bngt	ID	ID
😪	O	O

@leadersheepy	O	O
@tokopedia	O	O
gilssss	EN	JV
collab	EN	JV
maneh	JV	JV
,	O	O
duite	JV	JV
akeh	JV	JV
sekali	ID	ID
🤤	O	ID
🤤	O	O
🤔	O	O
yahhh	ID	ID
sangane	JV	O
serum	ID	ID
lebih	ID	ID
penting	ID	ID
,	O	O
dan	ID	ID
ng	JV	JV
toko	JV	JV
iki	JV	JV
gak	JV	JV
diskon	ID	ID
wkwkkw	O	O
kowe	JV	JV
wes	JV	JV
entuk	JV	JV
pc	EN	EN
ne	JV	JV
sopo	JV	JV
ae	JV	JV
?	O	O
?	O	O

Lagi	ID	ID
nyetel	ID	ID
be	EN	EN
together	EN	EN
trus	ID	ID
iseng	ID	ID
cek	ID	ID
playlist	EN	EN
video	ID	ID
gyang	O	EN
do	EN	EN
it	EN	EN
di	ID	ID
akun	ID	ID
official	EN	EN
deg2an	ID	ID
bgt	ID	ID
scroll	EN	EN
kebawah	ID	EN
udah	ID	ID
pikiran	ID	ID
macem2	ID	ID
dan	ID	ID
hamdalah	ID	ID
masih	ID	ID
ada	ID	ID
irun	O	ID
disitu	ID	ID
ngga	ID	ID
diremove	MIX-ID-EN	MIX-ID-EN
😭	O	O

Please	EN	EN
anyone	EN	EN
,	O	O
bantuin	ID	ID
gue	ID	ID
bikin	ID	ID
tugas	ID	ID
b	O	O
,	O	O
indo	O	ID
tentang	ID	ID
covid	O	O
dong	ID	ID
😭	O	O

dear	EN	EN
sekonco	JV	ID
babii	ID	ID
kalo	ID	ID
ada	ID	ID
akun	ID	ID
jelek	ID	ID
langsung	ID	ID
direport	MIX-ID-EN	MIX-ID-EN
aja	ID	ID
ya	ID	ID
,	O	O
makasih	ID	ID
🫶	O	O
🏻	O	O

Inti	ID	O
kasus	ID	ID
OF	O	ID
,	O	O
karena	ID	ID
dianggap	ID	ID
melanggar	ID	ID
UU	ID	ID
ITE	ID	ID
diproses	ID	ID
semua	ID	ID
.	O	O
Terus	ID	ID
,	O	O
kok	ID	ID
speednya	MIX-ID-EN	MIX-ID-EN
cepet	ID	ID
banget	ID	ID
,	O	O
dapet	ID	ID
referral	EN	ID
kali	ID	ID
ya	ID	ID
dari	ID	ID
OF	O	ID
kalo	ID	ID
bisa	ID	ID
resolve	EN	ID
issue	EN	ID
legalnya	ID	ID
?	O	O
#yaudahlahya	O	ID
kerja	ID	ID
gih	ID	ID
lu	ID	ID
om	ID	ID
,	O	O
masih	ID	ID
miskin	ID	ID
kan	ID	ID
,	O	O
ingat	ID	ID
baktimu	ID	ID
berupa	ID	ID
pajak	ID	ID
pada	ID	ID
negara	ID	ID
..	O	O
ingat	ID	ID
karmamu	ID	ID
uga	ID	ID
..	O	O

@kimd0ki_	O	O
di	ID	ID
bub	EN	EN
aja	ID	ID
,	O	O
block	EN	EN
dulu	ID	ID
akun	ID	ID
yang	ID	ID
ngefollow	MIX-ID-EN	MIX-ID-EN
kamu	ID	ID
,	O	O
habis	ID	ID
diblock	MIX-ID-EN	MIX-ID-EN
buka	ID	ID
lagi	ID	ID
blockan	MIX-ID-EN	ID
nya	ID	ID
nah	ID	ID
itu	ID	ID
otomatis	ID	ID
dia	ID	ID
udah	ID	ID
ga	ID	ID
follow	EN	EN
kamu	ID	ID
lagi	ID	ID
gitu	ID	ID
sih	ID	ID
kalau	ID	ID
gasalah	ID	ID

Iku	JV	O
chanel	EN	EN
apa	ID	ID
?	O	O
Kbs	O	O
sbs	O	ID
mbc	O	ID
?	O	O
@henasdeliara:	O	ID
Downloadke	MIX-JV-EN	MIX-JV-EN
Sung	O	EN
drama	ID	EN
10EP	ID	EN
"	O	O
Please	EN	EN
Remember	EN	EN
,	O	O
Princess	EN	JV
"	O	O
:)	O	O
He'll	EN	EN
be	EN	EN
acting	EN	EN
as	EN	EN
정기억	O	EN
4th	EN	ID
Nov	EN	O
2013	O	O
