Word	True	Predict
cara	ID	ID
menghilangkan	ID	ID
ovt	EN	EN
gimana	ID	ID
:d	O	O
,	O	O
walau	ID	ID
udh	ID	ID
mule	ID	ID
teneg	ID	ID
tapi	ID	ID
ga	ID	ID
teneg	ID	ID
lagi	ID	ID
jadinya	ID	ID
(	O	O
harusnya	ID	ID
ke	ID	ID
priv	EN	ID
tapi	ID	ID
males	ID	ID
switch	EN	EN
acc	EN	EN
)	O	O

eng	O	O
!	O	O
last	EN	EN
night	EN	EN
i	EN	EN
...	O	O
dinner	EN	EN
with	EN	EN
my	EN	EN
friend	EN	EN
when	EN	EN
it	EN	EN
rainded	EN	EN
heavily	EN	EN
so	EN	EN
,	O	O
i	EN	EN
cancelled	EN	EN
it	EN	EN
kalau	ID	ID
kayaa	ID	ID
gitu	ID	ID
jawabnya	ID	ID
pake	ID	ID
verb	EN	ID
2	O	O
boleh	ID	ID
nggak	ID	ID
yaa	ID	ID
?	O	O
(	O	O
wanted	EN	EN
to	EN	EN
had	EN	EN
/	O	O
want	EN	EN
to	EN	EN
have	EN	EN
)	O	O
??	O	O
kira	ID	ID
kira	ID	ID
yang	ID	ID
bener	ID	ID
yang	ID	ID
mana	ID	ID
yaa	ID	ID
,	O	O
thankyou	EN	EN

kok	ID	ID
twt	O	O
aku	ID	ID
skrng	ID	ID
jd	ID	ID
lemot	ID	ID
ya	ID	ID
..	O	O
buka	ID	ID
gambar	ID	ID
lama	ID	ID
bngt	ID	ID
trs	ID	ID
pengen	ID	ID
buka	ID	ID
dm	EN	EN
juga	ID	ID
loadingnya	MIX-ID-EN	MIX-ID-EN
lama	ID	ID
bngt	ID	ID
😪	O	O

@leadersheepy	O	O
@tokopedia	O	O
gilssss	EN	EN
collab	EN	EN
maneh	JV	EN
,	O	O
duite	JV	JV
akeh	JV	JV
sekali	ID	ID
🤤	O	O
🤤	O	O
🤔	O	O
yahhh	ID	JV
sangane	JV	JV
serum	ID	ID
lebih	ID	ID
penting	ID	ID
,	O	O
dan	ID	ID
ng	JV	JV
toko	JV	JV
iki	JV	JV
gak	JV	JV
diskon	ID	JV
wkwkkw	O	O
kowe	JV	JV
wes	JV	JV
entuk	JV	JV
pc	EN	JV
ne	JV	JV
sopo	JV	JV
ae	JV	JV
?	O	O
?	O	O

lagi	ID	ID
nyetel	ID	ID
be	EN	EN
together	EN	EN
trus	ID	ID
iseng	ID	ID
cek	ID	ID
playlist	EN	EN
video	ID	ID
gyang	O	ID
do	EN	EN
it	EN	EN
di	ID	ID
akun	ID	ID
official	EN	EN
deg2an	ID	ID
bgt	ID	ID
scroll	EN	EN
kebawah	ID	ID
udah	ID	ID
pikiran	ID	ID
macem2	ID	ID
dan	ID	ID
hamdalah	ID	ID
masih	ID	ID
ada	ID	ID
irun	O	ID
disitu	ID	ID
ngga	ID	ID
diremove	MIX-ID-EN	MIX-ID-EN
😭	O	O

please	EN	EN
anyone	EN	EN
,	O	O
bantuin	ID	ID
gue	ID	ID
bikin	ID	ID
tugas	ID	ID
b	O	O
,	O	O
indo	O	O
tentang	ID	ID
covid	O	O
dong	ID	ID
😭	O	O

dear	EN	EN
sekonco	JV	ID
babii	ID	ID
kalo	ID	ID
ada	ID	ID
akun	ID	ID
jelek	ID	ID
langsung	ID	ID
direport	MIX-ID-EN	MIX-ID-EN
aja	ID	ID
ya	ID	ID
,	O	O
makasih	ID	ID
🫶	O	O
🏻	O	O

inti	ID	ID
kasus	ID	ID
of	O	ID
,	O	O
karena	ID	ID
dianggap	ID	ID
melanggar	ID	ID
uu	ID	ID
ite	ID	ID
diproses	ID	ID
semua	ID	ID
.	O	O
terus	ID	ID
,	O	O
kok	ID	ID
speednya	MIX-ID-EN	MIX-ID-EN
cepet	ID	ID
banget	ID	ID
,	O	O
dapet	ID	ID
referral	EN	ID
kali	ID	ID
ya	ID	ID
dari	ID	ID
of	O	ID
kalo	ID	ID
bisa	ID	ID
resolve	EN	EN
issue	EN	EN
legalnya	ID	ID
?	O	O
#yaudahlahya	O	O
kerja	ID	ID
gih	ID	ID
lu	ID	ID
om	ID	ID
,	O	O
masih	ID	ID
miskin	ID	ID
kan	ID	ID
,	O	O
ingat	ID	ID
baktimu	ID	ID
berupa	ID	ID
pajak	ID	ID
pada	ID	ID
negara	ID	ID
..	O	O
ingat	ID	ID
karmamu	ID	ID
uga	ID	ID
..	O	O

@kimd0ki_	O	O
di	ID	ID
bub	EN	EN
aja	ID	ID
,	O	O
block	EN	EN
dulu	ID	ID
akun	ID	ID
yang	ID	ID
ngefollow	MIX-ID-EN	MIX-ID-EN
kamu	ID	ID
,	O	O
habis	ID	ID
diblock	MIX-ID-EN	MIX-ID-EN
buka	ID	ID
lagi	ID	ID
blockan	MIX-ID-EN	ID
nya	ID	ID
nah	ID	ID
itu	ID	ID
otomatis	ID	ID
dia	ID	ID
udah	ID	ID
ga	ID	ID
follow	EN	EN
kamu	ID	ID
lagi	ID	ID
gitu	ID	ID
sih	ID	ID
kalau	ID	ID
gasalah	ID	ID

iku	JV	JV
chanel	EN	EN
apa	ID	ID
?	O	O
kbs	O	O
sbs	O	O
mbc	O	JV
?	O	O
@henasdeliara:	O	O
downloadke	MIX-JV-EN	MIX-JV-EN
sung	O	O
drama	ID	ID
10ep	ID	O
"	O	O
please	EN	EN
remember	EN	EN
,	O	O
princess	EN	EN
"	O	O
:)	O	O
he'll	EN	EN
be	EN	EN
acting	EN	EN
as	EN	EN
정기억	O	EN
4th	EN	EN
nov	EN	O
2013	O	O
